Charm Industrial — Average Net CDR per Batch (2026),,,,,,,,
"Sources: Isometric Registry Project Page, Certify Removal Data, Knowledge Base",,,,,,,,
Generated: 2026-04-06,,,,,,,,
,,,,,,,,
=== SECTION A: VERIFIED ISSUANCES (2026) ===,,,,,,,,
,,,,,,,,
GHG_Statement_#,Reporting_Period,Issuance_Date,Removals_Count,Net_tCO2e,Avg_Net_CDR_Per_Batch,Site,Oil_Types,Status
12,07 Nov 2025 – 31 Jan 2026,24 Feb 2026,3,43.47,14.49,Basco,AECN + Charm,Verified
13,01 Feb – 02 Mar 2026,18 Mar 2026,30,764.14,25.47,Basco,AECN only,Verified
,,,,,,,,
Verified Totals,,,33,807.61,24.47,,,
,,,,,,,,
=== SECTION B: DRAFT REMOVALS (Not Yet Verified — from Certify Removal Data) ===,,,,,,,,
,,,,,,,,
Removal_ID,Sequestered_Date,Net_tCO2e,GHG_Statement,Status,,,,
rmv_1KMR8G8VC1S0G1ZG,22 Mar 2026,24.40,—,Draft,,,,
rmv_1KNJ3SM8C1S01D8Y,21 Mar 2026,8.99,—,Draft,,,,
rmv_1KMR8F8WD1S0CHGF,21 Mar 2026,25.97,—,Draft,,,,
rmv_1KMR8E9FQ1S0DHP0,21 Mar 2026,26.53,—,Draft,,,,
rmv_1KMR8D9XN1S0EHVH,21 Mar 2026,25.77,—,Draft,,,,
rmv_1KMR8C6XW1S03QN6,21 Mar 2026,26.45,—,Draft,,,,
rmv_1KMR8B4941S02FGE,21 Mar 2026,25.95,—,Draft,,,,
rmv_1KMR8A1DX1S017BP,21 Mar 2026,27.01,—,Draft,,,,
rmv_1KMR8930Z1S0ZZ6Y,20 Mar 2026,29.25,—,Draft,,,,
rmv_1KMJV8Q5J1S0BEWK,20 Mar 2026,26.51,—,Draft,,,,
rmv_1KMJV7RZM1S0CZTK,20 Mar 2026,24.40,—,Draft,,,,
rmv_1KMJV9MW91S09XYK,19 Mar 2026,26.52,—,Draft,,,,
rmv_1KMJV6SZP1S0EGRK,19 Mar 2026,25.71,—,Draft,,,,
rmv_1KMJSDEZC1S0BK0H,19 Mar 2026,26.54,—,Draft,,,,
rmv_1KMJSCEDH1S0AAVS,19 Mar 2026,27.20,—,Draft,,,,
rmv_1KMGTFM7F1S0QM1Y,13 Mar 2026,26.12,—,Draft,,,,
rmv_1KMGTEKM91S0RZQH,13 Mar 2026,28.40,—,Draft,,,,
rmv_1KMGTDM1W1S0TBD4,13 Mar 2026,27.10,—,Draft,,,,
rmv_1KMGTCJM81S0VQ2Q,13 Mar 2026,28.18,—,Draft,,,,
rmv_1KMGTBJSB1S04X83,12 Mar 2026,24.33,—,Draft,,,,
rmv_1KM6CE3M21S0ZQW9,12 Mar 2026,26.57,—,Draft,,,,
,,,,,,,,
Draft Totals,,21 removals,537.90 tCO2e,Avg: 25.61,,,,,
,,,,,,,,
=== SECTION C: COMBINED SUMMARY (Verified + Draft) ===,,,,,,,,
,,,,,,,,
Category,Removals,Net_tCO2e,Avg_Net_CDR_Per_Batch,,,,,
Verified (GHG 12 + 13),33,807.61,24.47,,,,,
Draft (not yet in GHG stmt),21,537.90,25.61,,,,,
ALL 2026 Removals,54,1345.51,24.92,,,,,
,,,,,,,,
=== CALCULATION DETAIL ===,,,,,,,,
,,,,,,,,
"GHG Statement 12: 43.47 / 3 = 14.49 tCO2e per batch",,,,,,,,
"GHG Statement 13: 764.14 / 30 = 25.47 tCO2e per batch",,,,,,,,
"Verified Average: 807.61 / 33 = 24.47 tCO2e per batch",,,,,,,,
"Draft Average: 537.90 / 21 = 25.61 tCO2e per batch",,,,,,,,
"Combined Average: 1345.51 / 54 = 24.92 tCO2e per batch",,,,,,,,
,,,,,,,,
=== NOTES ===,,,,,,,,
,,,,,,,,
"1. Verified data sourced from Isometric Registry project page (Issuances table) cross-checked against KB verification history",,,,,,,,
"2. Draft removal data sourced from Certify > Charm Bio-oil Geologic Storage > Removal Data (21 removals with no GHG Statement ID)",,,,,,,,
"3. Draft total (537.90 tCO2e) matches Certify dashboard 'Tonnes in draft' exactly",,,,,,,,
"4. GHG 12 reporting period straddles 2025-2026 (Nov 2025 – Jan 2026); included because verified/issued in Feb 2026",,,,,,,,
"5. Buffer pool deduction (5% — Low Risk, Basco) is separate from Net CDR; not reflected in these figures",,,,,,,,
"6. rmv_1KNJ3SM8C (8.99 tCO2e) is a notable outlier among drafts — substantially below the draft mean of 25.61",,,,,,,,
"7. Draft sequestered dates range 12 Mar – 22 Mar 2026; none yet assigned to a GHG Statement",,,,,,,,
